query_number,query_text,matched_codes,match_count
2840,"AND([AnimalWelfareAnimTestPolicy] False,OR([AnimalWelfareThirdPartyLists] ANY 'PETA|USDA Violation of the Animal Welfare Act',[AnimalWelfareInvolvement] ANY 'Factory Farming'))",AnimalWelfareInvolvement,1
2842,"AND([AnimalWelfareInvolvement] ANY 'Animal Testing|Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture',[AnimalWelfareAnimTestInvolvement] ANY 'Pharmaceutical|Non-Pharmaceutical',[AnimalWelAnimTestLegalReqStatem] ANY 'Beyond Legal Requirements')",AnimalWelfareInvolvement,1
2843,"AND([AnimalWelfareInvolvement] ANY 'Factory Farming',[FundESGRatingStars] IS :NC)",AnimalWelfareInvolvement,1
2844,"AND([AnimalWelfareInvolvement] ANY 'Factory Farming',[IssuerType] == 'Publicly-held')",AnimalWelfareInvolvement,1
2845,"AND([AnimalWelfareInvolvement] NONE 'Animal Testing',[TobaccoInvolvement] NONE 'Production|Distribution|Services',[AlcoholInvolvement] NONE 'Production|Distribution|Services')",AnimalWelfareInvolvement,1
2846,"AND([AnimalWelfareInvolvement] NONE 'Animal Testing|Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture',[PorkInvolvement] NONE 'Production|Distribution')",AnimalWelfareInvolvement,1
2847,"AND([AnimalWelfareInvolvement] NONE 'Factory Farming',[CountryOfIncorporation] == 'USA')",AnimalWelfareInvolvement,1
2848,"AND([AnimalWelfareInvolvement] NONE 'Factory Farming',[NBSOverallScore] < '10',[oekomPerformanceScore] >= '25',[GamblingRevShareMax] <= '0.05',[PornographyRevShareMax] <= '0.05',[APMinesOverallFlag] == 'Green',[BiologicalWeaponsOverallFlag] == 'Green',[ChemicalWeaponsOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[MilitaryEqmtProdServMaxRev] <= '0.05',[TobaccoProdMaxRev] <= '0.05',[AlcoholTotalProdMaxRev] <= '0.05')",AnimalWelfareInvolvement,1
2849,"AND([AnimalWelfareInvolvement] NONE 'Factory Farming|Fur & Exotic Leather|Aquaculture',[AnimalWelfareAnimTestInvolvement] NONE 'Non-Pharmaceutical')",AnimalWelfareInvolvement,1
2855,"AND([AnimalWelfareThirdPartyLists] NONE 'PETA|USDA Research Facility|USDA Violation of the Animal Welfare Act|USDA Breeder|USDA Exhibitor',[AnimalWelfareInvolvement] NONE 'Animal Testing|Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture',[PorkInvolvement] NONE 'Production',[SDGRLifeBelowWater] >= '0',[SDGRCleanWater] >= '0',NOT ([CountryOfIncorporation] IN 'Russia'),NOT ([GICSSubIndustry] IN 'Meat Poultry & Fish'),NOT ([GICSSubIndustry] IN 'Packaged Foods & Meats'),[FossilFuelRisk] NONE 'Production|Exploration|Distribution|Services',NOT ([GICSSubIndustry] IN 'Forest Products'),[TobaccoInvolvement] NONE 'Production|Distribution|Services',[AnimalWelfareFactoryFarmingRisk] False,[GMOAgricultureProdMaxRev] == '0',[CRScAnimalWelfareStandards] IS :NM,[CRScAnimalWelfareLeisureOps] IS :NM)",AnimalWelfareInvolvement,1
2986,"AND([BiologicalWeaponsOverallFlag] IN 'RED|Amber|Green',[ChemicalWeaponsOverallFlag] IN 'RED|Amber|Green',[NuclearWeaponsOverallFlag] IN 'RED|Amber|Green',[NuclearWeaponsNonNPTOverallFlag] IN 'RED|Amber|Green',[ClusterMunitionsOverallFlag] IN 'RED|Amber|Green',[DepletedUraniumOverallFlag] IN 'RED|Amber|Green',[APMinesOverallFlag] IN 'RED|Amber|Green',[IncendiaryWeaponsOverallFlag] IN 'RED|Amber|Green',[WhitePhosphorusOverallFlag] IN 'RED|Amber|Green',[NBSOverallFlag] IN 'RED|Amber|Green')",NBSOverallFlag,1
3066,"AND([CarbonReservesInvolvement] ANY 'Coal|Oil and Gas',OR([EnergyExtractivesInvolvement] ANY 'Extractives',[FossilFuelInvolvement] ANY 'Production|Distribution',[CoalMiningInvolvement] ANY 'Production|Distribution'))",FossilFuelInvolvement,1
3069,"AND([CarbonReservesInvolvement] ANY 'Coal|Oil and Gas',OR([FossilFuelInvolvement] ANY 'Production|Exploration|Distribution|Services',[ShaleOilGasInvolvement] ANY 'Production|Services',[ArcticDrillingInvolvement] ANY 'Production|Exploration',[HydraulicFracturingInvolvement] ANY 'Production|Services',[OilSandsInvolvement] ANY 'Production|Exploration|Services'))",FossilFuelInvolvement,1
3075,"AND([CarbonRRRatingCategoryGroup] IN 'Climate Laggard|Climate Medium Performer',OR([ArcticDrillingInvolvement] ANY 'Production|Exploration',[HydraulicFracturingInvolvement] ANY 'Production|Services',[OilSandsInvolvement] ANY 'Production|Exploration|Services',[ShaleOilGasInvolvement] ANY 'Production|Services',[CarbonReservesInvolvement] ANY 'Coal|Oil and Gas',[FossilFuelInvolvement] ANY 'Production|Exploration|Distribution|Services'))",FossilFuelInvolvement,1
3202,"AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementStatus] ANY 'Active Involvement',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity|Domiciled in Sudan|OFAC Violation or Terror Sponsor|Provider of Military Equipment|Ties to The Government')",GSCaseSudanInvolvement,1
3203,"AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementStatus] ANY 'Active Involvement',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Provider of Military Equipment',[GSCaseSudanExemptions] NONE 'Authorized by US Government')",GSCaseSudanInvolvement,1
3204,"AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementStatus] ANY 'Active Involvement',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Ties to The Government',[GSCaseSudanRevShares] ANY_MAP 'Mineral Extraction:(10-100%]|Oil and Gas:(10-100%]|Power Production:(10-100%]',[GSCaseSudanExemptions] NONE 'Social Development Company',[GSCaseSudanSubstantialActions] NONE 'Plan to cease|Humanitarian|Sudan Darfur Genocide')",GSCaseSudanInvolvement,1
3205,"AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementStatus] ANY 'Active Involvement',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanRevShares] ANY_MAP 'Mineral Extraction:(10-100%]|Oil and Gas:(10-100%]|Power Production:(10-100%]',[GSCaseSudanInvolvement] ANY 'Ties to The Government',[GSCaseSudanExemptions] NONE 'Authorized by US Government')",GSCaseSudanInvolvement,1
3206,"AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity|Ties to The Government',[GSCaseSudanExemptions] NONE 'Authorized by US Government|Humanitarian|Social Development Company')",GSCaseSudanInvolvement,1
3207,"AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseRelationshipType] IN 'Majority Owner|Minority Owner|Operating Company|Subsidiary',[GSCaseInvolvementStatus] ANY 'Active Involvement',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity|Provider of Military Equipment',[GSCaseSudanExemptions] NONE 'Humanitarian|Military Equipment Exemption',[GSCaseSudanSubstantialActions] NONE 'Plan to cease|Humanitarian|Sudan Darfur Genocide')",GSCaseSudanInvolvement,1
3209,"AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity')",GSCaseSudanInvolvement,1
3237,"AND([CaseAreas] IN 'Norms-Based Screening>Environment',[NBSOverallFlag] IN 'RED')",NBSOverallFlag,1
3385,"AND([CaseScore] >= '5',[NBRCaseVerificationIndicator] == 'Verified')",NBRCaseVerificationIndicator,1
3408,"AND([CaseScore] >= '6',[NBRCaseVerificationIndicator] == 'Verified',[NBRCaseKeyThematicArea] ANY 'Child labour|Fundamental human rights|Modern slavery')",NBRCaseVerificationIndicator,1
3409,"AND([CaseScore] >= '6',[NBRCaseVerificationIndicator] == 'Verified',[NBRCaseKeyThematicArea] ANY 'Forced labour|Child labour|Fundamental human rights|Modern slavery')",NBRCaseVerificationIndicator,1
3570,"AND([CaseType] == 'Norms-Based Screening',[NBRCaseRemediationIndicator] == 'Measures Initiated',[NBRCaseSeveritySignal] ANY 'Very Severe|Severe',[NBRCaseVerificationIndicator] == 'Verified (under appeal)')",NBRCaseVerificationIndicator,1
3572,"AND([CaseType] == 'Norms-Based Screening',[NBSOverallFlag] IN 'RED|Amber|Green')",NBSOverallFlag,1
3659,"AND([CivFADistMinRev] <= '0.1',[APMinesOverallFlag] == 'Green',[BiologicalWeaponsOverallFlag] == 'Green',[ChemicalWeaponsOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[DepletedUraniumOverallFlag] == 'Green',[IncendiaryWeaponsOverallFlag] == 'Green',[NuclearWeaponsOverallFlag] == 'Green',[NuclearWeaponsNonNPTOverallFlag] == 'Green',[WhitePhosphorusOverallFlag] == 'Green',[NuclearPowerRevShareMin] <= '0.1',[AlcoholTotalProdMinRev] <= '0.1',[NBSOverallFlag] IN 'Amber|Green',[FossilFuelTotCoalProdRevShareMax] <= '0.1',[PornographyDistMaxRev] <= '0.1',[PornographyProdMaxRev] <= '0.1',[TobaccoProdMaxRev] <= '0.1',NOT ([GICSSubIndustry] IN 'Oil & Gas Exploration & Production'),[CoalMiningRevShareMaxMetallurgical] < '0.1',[CoalMiningRevShareMaxThermal] < '0.1',[APMinesOverallFlag] == 'Green',[BiologicalWeaponsOverallFlag] == 'Green',[ChemicalWeaponsOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[DepletedUraniumOverallFlag] == 'Green',[IncendiaryWeaponsOverallFlag] == 'Green',[CivFAInvolvement] NONE 'Production|Distribution|Services',NOT ([CountryOfIncorporation] IN 'USA'),NOT ([GICSIndustry] IN 'Banks'),NOT ([GICSSubIndustry] IN 'Diversified Metals & Mining'),NOT ([GICSSubIndustry] IN 'Oil & Gas Equipment & Services'),NOT ([GICSSubIndustry] IN 'Precious Metals & Minerals'),NOT ([GICSSubIndustry] IN 'Oil & Gas Exploration & Production'),NOT ([GICSSubIndustry] IN 'Oil & Gas Drilling'),NOT ([GICSSubIndustry] IN 'Coal & Consumable Fuels'),NOT ([GICSSubIndustry] IN 'Copper'),NOT ([GICSSubIndustry] IN 'Aluminum'),NOT ([GICSSubIndustry] IN 'Oil & Gas Refining & Marketing'),NOT ([GICSSubIndustry] IN 'Gold'),NOT ([GICSIndustry] IN 'Metals & Mining'),[MilitaryEqmtInvolvement] NONE 'Production|Distribution|Services',[MilitaryEqmtCombatInvolvement] NONE 'Production|Distribution|Services')",NBSOverallFlag,1
